                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78579,                 1.8558,                  1.461,                 1.1513,                0.36827,                0.39435,                0.38221,                0.31382,                0.36827,                0.39435,                0.38071,                0.28403,                0.88357,                 2.0284,                 1.4578,                 1.3041,             0.00021662,             0.00021662,             0.00021662
                     36,                0.73848,                  1.791,                 1.4037,                 1.1194,                0.39373,                0.47856,                0.46134,                0.37979,                0.39154,                0.47636,                0.45894,                0.34847,                0.86356,                 2.0126,                 1.4668,                 1.2812,             0.00020425,             0.00020425,             0.00020425
                     37,                0.75122,                 1.7474,                 1.4028,                 1.1292,                0.34723,                 0.3972,                0.36639,                0.29355,                0.34723,                 0.3972,                  0.365,                0.27652,                0.86386,                 1.9537,                 1.4957,                 1.2785,             0.00019188,             0.00019188,             0.00019188
                     38,                0.73253,                 1.7501,                  1.379,                 1.1185,                0.48949,                0.33196,                0.37312,                0.30653,                0.48949,                0.33196,                0.37166,                0.28469,                0.87699,                 1.9634,                 1.4917,                 1.2836,              0.0001795,              0.0001795,              0.0001795
                     39,                0.74587,                 1.7788,                  1.334,                 1.1276,                0.36443,                 0.4519,                0.39874,                0.32835,                0.36443,                 0.4519,                0.39874,                0.30263,                0.84634,                 1.9682,                 1.4665,                 1.2395,             0.00016713,             0.00016713,             0.00016713
                     40,                0.71389,                 1.7555,                 1.3345,                  1.114,                0.37421,                0.36422,                0.35814,                0.30187,                0.37593,                0.36202,                0.35708,                0.28331,                0.83645,                 1.9769,                 1.4967,                 1.2527,             0.00015475,             0.00015475,             0.00015475
                     41,                0.70449,                 1.6717,                 1.2111,                 1.1511,                 0.3884,                0.44839,                0.39199,                0.31436,                0.38614,                0.44619,                0.39027,                0.30305,                0.88423,                 2.0219,                 1.5085,                 1.3069,             0.00014237,             0.00014237,             0.00014237
                     42,                0.65447,                 1.5908,                 1.0868,                 1.1254,                 0.3584,                0.40126,                0.36966,                0.30293,                0.35615,                0.39907,                0.36812,                0.27946,                0.85692,                 1.9572,                 1.5014,                 1.2633,                0.00013,                0.00013,                0.00013
                     43,                0.65567,                 1.5443,                 1.0526,                 1.1362,                 0.3809,                 0.5025,                0.41541,                0.34117,                0.37877,                0.50031,                0.41395,                0.31259,                  0.877,                 2.0145,                  1.488,                 1.2861,             0.00011763,             0.00011763,             0.00011763
                     44,                0.62739,                 1.4933,                 1.0106,                 1.1046,                 0.4239,                0.43377,                0.45283,                0.37489,                 0.4217,                0.43158,                0.45081,                0.35287,                0.84549,                 2.0297,                 1.4935,                  1.261,             0.00010525,             0.00010525,             0.00010525
                     45,                 0.6143,                 1.5127,                0.97118,                 1.0972,                0.37534,                0.48709,                0.42187,                0.35518,                0.37795,                0.48962,                0.42322,                 0.3333,                0.84845,                 2.0008,                 1.4952,                 1.2603,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.61654,                  1.487,                0.94504,                 1.0944,                0.37793,                0.49721,                0.41379,                0.34586,                 0.3785,                0.49754,                0.41521,                 0.3137,                0.87855,                 1.9772,                 1.4649,                  1.288,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.62459,                 1.4684,                0.94294,                 1.1014,                0.41821,                0.41969,                0.40226,                0.34493,                  0.422,                0.42738,                0.40483,                0.31468,                 0.8789,                 2.0038,                 1.5272,                 1.2825,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     48,                0.59772,                 1.4202,                 0.9171,                 1.0736,                0.38716,                0.51168,                0.47764,                0.41173,                0.38954,                0.51421,                0.47757,                0.36681,                0.86356,                 1.9798,                 1.4897,                 1.2679,              5.575e-05,              5.575e-05,              5.575e-05
                     49,                0.58836,                 1.4209,                0.91352,                 1.0761,                0.44594,                 0.4845,                0.48946,                0.42143,                0.44395,                0.48231,                0.48677,                0.37429,                 0.8377,                 2.0135,                  1.445,                 1.2545,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     50,                0.59052,                 1.4125,                0.89895,                   1.08,                0.42083,                0.42487,                0.42507,                0.36033,                0.41839,                0.42268,                0.42226,                0.32777,                0.85046,                 2.0118,                  1.481,                 1.2668,                3.1e-05,                3.1e-05,                3.1e-05
